编号,四柱,反查出生,身强身弱,格局,状态,破格原因,用神,喜神,忌神
M01,壬子 壬子 丁酉 辛亥,1973-1-1,极弱(1),从杀格,成格,—,水,水金,木火
M02,庚申 乙酉 庚申 乙酉,1860-9-13,极强(100),羊刃格,破格,羊刃无制,火,火水木,土金
M03,丁巳 乙巳 辛亥 甲午,1917-5-9,极弱(1),假从势格,成格,—,火,火木水,土金
M04,辛未 丁酉 丁亥 癸卯,1991-9-14,极弱(20),偏财格,破格,月令受时柱冲；日主极弱，难以承载格局用神,木,木火,土金水
M05,乙丑 癸未 庚辰 丙子,1865-7-9,偏弱(32),正财格,破格,月令受年柱冲,水,水金,火木土
M06,癸亥 甲寅 戊辰 丁巳,1983-2-9,中和(45),七杀格,成格,—,火,火土,木金水
M07,壬午 癸丑 庚寅 壬午,2003-1-17,中和(54),伤官格,成格,—,水,水火木,土金
M08,壬辰 壬子 甲午 丙寅,1952-12-14,偏强(75),正印格,破格,月令受日柱冲,土,土火金,水木
M09,丁未 丁未 辛丑 戊子,1967-8-5,偏弱(31),七杀格,破格,月令受日柱冲；印星为燥土，虚浮不化杀,水,水金,火木土
M10,甲子 丁卯 己亥 庚午,1984-3-6,极弱(24),杀印相生格,破格,日主极弱，难以承载格局用神,火,火土,木金水
M11,辛卯 丁酉 乙亥 己卯,1951-10-2,偏弱(37),食神制杀格,破格,月令受年柱冲；月令受时柱冲；食神虚透，制杀无力,水,水木,土金火
M12,戊辰 丙辰 壬戌 庚戌,1868-4-6,极弱(7),七杀格,破格,月令受日柱冲；月令受时柱冲；日主极弱，难以承载格局用神,金,金水,木土火
M13,丁亥 己酉 甲辰 庚午,1947-9-22,极弱(10.5),正官格,破格,伤官克官；官杀混杂；日主极弱，难以承载格局用神,水,水木,火金土
M14,戊午 戊午 甲戌 庚午,1858-6-10,极弱(1),假从势格,成格,—,金,金土火,水木
M15,癸丑 乙卯 甲辰 戊辰,1973-3-9,偏强(78),羊刃格,破格,羊刃无制,金,金火土,木水
M16,丙寅 庚寅 壬午 戊申,1986-2-7,极弱(19),食神格,破格,月令受时柱冲；月令用神未透干；枭神夺食；日主极弱，难以承载格局用神,水,水金,木土火
M17,癸巳 戊午 丙戌 壬辰,1893-6-18,偏强(74),羊刃格,成格,—,水,水土金,木火
M18,乙亥 己卯 癸未 丁巳,1935-3-8,极弱(6),食神格,破格,日主极弱，难以承载格局用神,金,金水,木火土
M19,庚辰 戊子 丙午 壬辰,2000-12-14,极弱(21),正官格,破格,月令受日柱冲；官杀混杂；日主极弱，难以承载格局用神,木,木火,土金水
M20,壬申 戊申 甲寅 丙寅,1932-8-21,偏弱(30),七杀格,破格,月令受日柱冲；月令受时柱冲；月令用神未透干,水,水木,火土金
