编号,八字,变化,before用神,after用神,before喜,after喜,before忌,after忌,before_method,after_method,tiebreak决胜链
"#1","甲寅 丙寅 甲寅 甲子","仅排序","金","金","金、火、土","金、火、土","水、木","木、水","格局救应","格局救应","无需决胜（唯一最高分）"
"#2","庚申 戊子 丙子 壬辰","不变","水","水","水、金、土","水、金、土","木、火","木、火","从格顺势","从格顺势",""
"#3","戊午 丁巳 丙午 甲午","不变","水","水","水、土、金","水、土、金","木、火","木、火","扶抑为主·调候辅助","扶抑为主·调候辅助","无需决胜（唯一最高分）"
"#4","壬子 辛亥 戊子 壬子","不变","水","水","水、金、木","水、金、木","火、土","火、土","从格顺势","从格顺势",""
"#5","己酉 癸酉 庚申 甲申","不变","火","火","火、水、木","火、水、木","土、金","土、金","扶抑为主·调候辅助","扶抑为主·调候辅助","无需决胜（唯一最高分）"
"#6","甲辰 丙寅 戊午 丁巳","用神翻转","木","水","木、金、水","水、金、木","火、土","火、土","扶抑为主","扶抑为主","无需决胜（唯一最高分）"
"#7","癸亥 甲寅 乙卯 丙子","仅排序","金","金","金、火、土","金、火、土","水、木","木、水","格局救应","格局救应","无需决胜（唯一最高分）"
"#8","庚申 壬午 甲午 丙寅","仅排序","水","水","水、木","水、木","金、火、土","火、土、金","格局救应","格局救应","无需决胜（唯一最高分）"
"#9","甲子 丁卯 己未 庚午","喜忌成员","木","木","木、金、水","木","火、土","","扶抑为主","扶抑为主","结构需求分(木=0，金=0，水=0→木金水) → 通关/救应价值(木=0，金=0，水=0→木金水) → 根气质量(木=2.5，金=0，水=1→木)"
"#10","辛酉 癸巳 壬子 庚子","用神翻转","土","火","土、木、火","火、木、土","金、水","金、水","格局救应","格局救应","结构需求分(木=10，火=10，土=10→木火土) → 通关/救应价值(木=0，火=0，土=0→木火土) → 根气质量(木=-2，火=1，土=0.5→火)"
"A1","甲辰 丙寅 戊午 庚申","喜忌成员","火","火","火、土","火、土","木、金、水","木、金","格局救应","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=4，土=3→火)"
"A2","甲子 丁卯 己未 癸酉","不变","火","火","火、土","火、土","木、金、水","木、金、水","格局救应","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=1，土=1→火土) → 固定序(火=-1，土=-2→火)"
"A3","丙申 庚寅 戊辰 丁巳","用神翻转","木","水","木、金、水","水、金、木","火、土","火、土","格局救应","格局救应","无需决胜（唯一最高分）"
"A4","辛亥 庚寅 己巳 庚午","不变","火","火","火、土","火、土","木、金、水","木、金、水","格局救应","格局救应","无需决胜（唯一最高分）"
"A5","壬辰 癸卯 戊戌 丁巳","用神翻转","火","土","火、土","土","木、金、水","","格局救应","格局救应","结构需求分(火=0，土=0→火土) → 通关/救应价值(火=0，土=0→火土) → 根气质量(火=1.5，土=2.5→土)"
"A6","癸酉 乙卯 己丑 己巳","不变","火","火","火、土","火、土","木、金、水","木、金、水","格局救应","格局救应","无需决胜（唯一最高分）"
"B1","庚申 壬午 甲午 丙寅","仅排序","水","水","水、木","水、木","金、火、土","火、土、金","格局救应","格局救应","无需决胜（唯一最高分）"
"B2","壬申 丁未 甲辰 乙丑","用神翻转","水","木","水、木","木、水","金、火、土","火、土、金","格局救应","格局救应","无需决胜（唯一最高分）"
"B3","辛酉 丁酉 甲寅 乙丑","仅排序","水","水","水、木","水、木","金、火、土","火、金、土","格局救应","格局救应","无需决胜（唯一最高分）"
"B4","戊辰 戊午 乙亥 戊寅","用神翻转","水","木","水、木","木、水","金、火、土","金、火、土","扶抑为主","扶抑为主","无需决胜（唯一最高分）"
"B5","庚子 甲申 乙卯 丙子","仅排序","水","水","水、木","水、木","金、火、土","火、金、土","格局救应","格局救应","无需决胜（唯一最高分）"
"B6","丙申 己亥 丁卯 壬寅","仅排序","木","木","木、火","木、火","水、土、金","土、金、水","扶抑为主·调候辅助","扶抑为主·调候辅助","结构需求分(木=0，火=0→木火) → 通关/救应价值(木=0，火=0→木火) → 根气质量(木=4，火=1→木)"
