变体,编号,八字,旧分,新分,Δ分,旧旺衰,新旺衰,旧用神,新用神,旧喜,新喜,旧忌,新忌
"O100N75","P15-15","癸未 戊午 乙卯 丙戌","19","20.75","1.75","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"O100N50","P15-15","癸未 戊午 乙卯 丙戌","19","22.5","3.5","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"O100N0","P15-15","癸未 戊午 乙卯 丙戌","19","26","7","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"O75N100","P15-15","癸未 戊午 乙卯 丙戌","19","22","3","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"O75N75","P15-15","癸未 戊午 乙卯 丙戌","19","23.75","4.75","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"O75N50","P15-15","癸未 戊午 乙卯 丙戌","19","25.5","6.5","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"O75N0","P15-15","癸未 戊午 乙卯 丙戌","19","29","10","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"O50N100","P15-15","癸未 戊午 乙卯 丙戌","19","25","6","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"O50N75","P15-15","癸未 戊午 乙卯 丙戌","19","26.75","7.75","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"O50N50","P15-15","癸未 戊午 乙卯 丙戌","19","28.5","9.5","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"O50N0","P15-15","癸未 戊午 乙卯 丙戌","19","32","13","极弱","偏弱","木","木","木、水","木、水","金、火、土","金、火、土"
"O0N100","P15-15","癸未 戊午 乙卯 丙戌","19","31","12","极弱","偏弱","木","木","木、水","木、水","金、火、土","金、火、土"
"O0N75","P15-15","癸未 戊午 乙卯 丙戌","19","32.75","13.75","极弱","偏弱","木","木","木、水","木、水","金、火、土","金、火、土"
"O0N50","P15-15","癸未 戊午 乙卯 丙戌","19","34.5","15.5","极弱","偏弱","木","木","木、水","木、水","金、火、土","金、火、土"
"O0N0","P15-15","癸未 戊午 乙卯 丙戌","19","38","19","极弱","偏弱","木","木","木、水","木、水","金、火、土","金、火、土"
