编号,四柱,日主,六合对(柱位),原支关系,化神,月令支持状态(旺相休囚死),化神透干位置,R1直接冲,R2月令冲,刑,害,BASE是否重构,BASE dayBranchAdj,BASE分数,BASE旺衰,设计类别(结构性)
"H01","癸未 戊午 乙卯 丙戌","木","day-hour(卯戌合火)[月支五行===化神·收集]","原支卯=木(比劫) → 化神火(食伤)","火","旺(月支同五行)","hour","无","无","两字:year / 三字全:否","无","重构","-19","19","极弱","锚点(28盘P15-15)·真化候选·仅时干透·未戌刑(两字)"
"H02","戊辰 甲寅 丁亥 庚子","火","month-day(寅亥合木)[月支五行===化神·收集]","原支亥=水(官杀) → 化神木(印)","木","旺(月支同五行)","month","无","无","两字:无 / 三字全:否","无","重构","18","71","偏强","真化候选·仅月干透·无冲刑害"
"H03","甲寅 戊辰 壬子 辛丑","水","day-hour(子丑合土)[月支五行===化神·收集]","原支子=水(比劫) → 化神土(官杀)","土","旺(月支同五行)","month","无","无","两字:无 / 三字全:否","无","重构","-22","23","极弱","真化候选·仅月干透·无冲刑害"
"H04","甲申 庚午 辛卯 戊戌","金","day-hour(卯戌合火)[月支五行===化神·收集]","原支卯=木(财) → 化神火(官杀)","火","旺(月支同五行)","无","无","无","两字:无 / 三字全:否","无","重构","-4","26","极弱","真化候选·化神完全不透·无冲刑害"
"H05","庚子 乙酉 甲辰 甲子","木","month-day(酉辰合金)[月支五行===化神·收集]","原支辰=土(财) → 化神金(官杀)","金","旺(月支同五行)","year","无","无","两字:无 / 三字全:否","无","重构","-4","21","极弱","仅年干透化神·无冲刑害"
"H06","乙巳 壬午 丁未 戊申","火","month-day(午未合) [引擎口径化火→月支午===火→收集(adj+19) / 经典口径化土→月支午≠土→不收集(adj0)]","原支未=土(食伤) → 化神火(比劫)","火","旺(月支同五行)","无","无","无","两字:无 / 三字全:否","无","重构","19","98","极强","真化候选(引擎口径午未合火)·化神完全不透·无冲刑害"
"H07","己丑 丙寅 丁亥 甲辰","火","month-day(寅亥合木)[月支五行===化神·收集]","原支亥=水(官杀) → 化神木(印)","木","旺(月支同五行)","hour","无","无","两字:无 / 三字全:否","无","重构","18","86","极强","仅时干透化神·无冲刑害"
"H08","丁酉 丙午 丁卯 庚戌","火","day-hour(卯戌合火)[月支五行===化神·收集]","原支卯=木(印) → 化神火(比劫)","火","旺(月支同五行)","year+month","year","无","两字:无 / 三字全:否","year","重构","4","94","极强","合局成员受直接六冲(酉冲卯)·同柱酉亦害戌(冲害联动)"
"H09","甲寅 壬申 壬辰 己酉","水","day-hour(辰酉合金)[月支五行===化神·收集]","原支辰=土(官杀) → 化神金(印)","金","旺(月支同五行)","无","无","year","两字:无 / 三字全:否","无","重构","18","80","极强","月令自身受冲(寅冲申月)·化神完全不透"
"H10","癸未 丁巳 丙戌 辛卯","火","day-hour(戌卯合火)[月支五行===化神·收集]","原支戌=土(食伤) → 化神火(比劫)","火","旺(月支同五行)","month","无","无","两字:year / 三字全:否","无","重构","19","100","极强","合局成员受刑(未刑戌)但无冲·仅月干透"
"H11","壬辰 癸卯 戊戌 丁巳","土","month-day(卯戌合火)[月支五行≠化神·不收集]","原支戌=土(比劫) → 化神火(印)","火","相(月令生之)","hour","year","无","两字:无 / 三字全:否","year","不重构","0","47","中和","旺相对照锚点(28盘A5)：卯月火相·月支木≠火·成员受冲(辰冲戌)+害(辰害卯)"
"H12","甲申 丁丑 壬辰 己酉","水","day-hour(辰酉合金)[月支五行≠化神·不收集]","原支辰=土(官杀) → 化神金(印)","金","相(月令生之)","无","无","无","两字:无 / 三字全:否","无","不重构","0","22","极弱","旺相对照：丑月金相·月支土≠金·无冲刑害"
