变体,originalResidual,newEffect,盘,八字,BASE分,新分,Δ分,未重构基线分,BASE旺衰,新旺衰,BASE用神,新用神,BASE喜,新喜,BASE忌,新忌
"R0E75","0","0.75","P15-15","癸未 戊午 乙卯 丙戌","19","20.75","1.75","","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R0E75","0","0.75","H01","癸未 戊午 乙卯 丙戌","19","20.75","1.75","38","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R0E75","0","0.75","H02","戊辰 甲寅 丁亥 庚子","71","69","-2","53","偏强","偏强","水","水","水、土、金","水、土、金","木、火","木、火"
"R0E75","0","0.75","H03","甲寅 戊辰 壬子 辛丑","23","25.5","2.5","45","极弱","极弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R0E75","0","0.75","H07","己丑 丙寅 丁亥 甲辰","86","84","-2","68","极强","极强","土","土","土、金、水","土、金、水","木、火","木、火"
"R0E75","0","0.75","H10","癸未 丁巳 丙戌 辛卯","100","99","-1","83","极强","极强","水","水","水、土、金","水、土、金","木、火","木、火"
"R0E75","0","0.75","H14","乙丑 己丑 壬子 辛丑","10","12.5","2.5","32","极弱","极弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R0E50","0","0.5","P15-15","癸未 戊午 乙卯 丙戌","19","22.5","3.5","","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R0E50","0","0.5","H01","癸未 戊午 乙卯 丙戌","19","22.5","3.5","38","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R0E50","0","0.5","H02","戊辰 甲寅 丁亥 庚子","71","67","-4","53","偏强","偏强","水","水","水、土、金","水、土、金","木、火","木、火"
"R0E50","0","0.5","H03","甲寅 戊辰 壬子 辛丑","23","28","5","45","极弱","极弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R0E50","0","0.5","H07","己丑 丙寅 丁亥 甲辰","86","82","-4","68","极强","极强","土","土","土、金、水","土、金、水","木、火","木、火"
"R0E50","0","0.5","H10","癸未 丁巳 丙戌 辛卯","100","96","-4","83","极强","极强","水","水","水、土、金","水、土、金","木、火","木、火"
"R0E50","0","0.5","H14","乙丑 己丑 壬子 辛丑","10","15","5","32","极弱","极弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R25E100","0.25","1","P15-15","癸未 戊午 乙卯 丙戌","19","22","3","","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R25E100","0.25","1","H01","癸未 戊午 乙卯 丙戌","19","22","3","38","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R25E100","0.25","1","H02","戊辰 甲寅 丁亥 庚子","71","68.5","-2.5","53","偏强","偏强","水","水","水、土、金","水、土、金","木、火","木、火"
"R25E100","0.25","1","H03","甲寅 戊辰 壬子 辛丑","23","26","3","45","极弱","极弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R25E100","0.25","1","H07","己丑 丙寅 丁亥 甲辰","86","83.5","-2.5","68","极强","极强","土","土","土、金、水","土、金、水","木、火","木、火"
"R25E100","0.25","1","H14","乙丑 己丑 壬子 辛丑","10","13","3","32","极弱","极弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R25E75","0.25","0.75","P15-15","癸未 戊午 乙卯 丙戌","19","23.75","4.75","","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R25E75","0.25","0.75","H01","癸未 戊午 乙卯 丙戌","19","23.75","4.75","38","极弱","极弱","木","木","木、水","木、水","金、火、土","金、火、土"
"R25E75","0.25","0.75","H02","戊辰 甲寅 丁亥 庚子","71","66.5","-4.5","53","偏强","偏强","水","水","水、土、金","水、土、金","木、火","木、火"
"R25E75","0.25","0.75","H03","甲寅 戊辰 壬子 辛丑","23","28.5","5.5","45","极弱","极弱","金","金","金、水","金、水","木、土、火","木、土、火"
"R25E75","0.25","0.75","H07","己丑 丙寅 丁亥 甲辰","86","81.5","-4.5","68","极强","极强","土","土","土、金、水","土、金、水","木、火","木、火"
