模型,盘,类别,四柱,模型资格,S,T,D,模型adj,全口径adj,方向一致,BASE分,BASE旺衰,模型分,模型旺衰,Δ分,五档翻转,用神翻转,BASE用神,模型用神,BASE喜,模型喜,BASE忌,模型忌
"M_A","H01","专项","癸未 戊午 乙卯 丙戌","真化","S1","T2","无","-11.25","-19","一致","19","极弱","26.75","极弱","7.75","无","无","木","木","木、水","木、水","金、火、土","金、火、土"
"M_A","H02","专项","戊辰 甲寅 丁亥 庚子","真化","S1","T2","无","11","18","一致","71","偏强","64","偏强","-7","无","无","水","水","水、土、金","水、土、金","木、火","木、火"
"M_A","H03","专项","甲寅 戊辰 壬子 辛丑","真化","S1","T2","无","-13.5","-22","一致","23","极弱","31.5","偏弱","8.5","翻转","无","金","金","金、水","金、水","木、土、火","木、土、火"
"M_A","H04","专项","甲申 庚午 辛卯 戊戌","趋化","S1","T0","无","-0.5","-4","一致","26","极弱","29.5","极弱","3.5","无","无","金","金","金、土","金、土","木、火、水","木、火、水"
"M_A","H05","专项","庚子 乙酉 甲辰 甲子","趋化","S1","T1","无","-0.5","-4","一致","21","极弱","24.5","极弱","3.5","无","无","水","水","水、木","水、木","火、土、金","火、土、金"
"M_A","H06","专项","乙巳 壬午 丁未 戊申","趋化","S2","T2","无","0","0","一致","98","极强","79","偏强","-19","翻转","无","水","水","水、土、金","水、土、金","木、火","木、火"
"M_A","H07","专项","己丑 丙寅 丁亥 甲辰","真化","S1","T2","无","11","18","一致","86","极强","79","偏强","-7","翻转","无","土","土","土、金、水","土、金、水","木、火","木、火"
"M_A","H08","专项","丁酉 丙午 丁卯 庚戌","趋化","S1","T2","R1","0","4","翻转","94","极强","90","极强","-4","无","无","水","水","水、土、金","水、土、金","木、火","木、火"
"M_A","H09","专项","甲寅 壬申 壬辰 己酉","趋化","S1","T0","R2","11.5","18","一致","80","极强","73.5","偏强","-6.5","翻转","无","木","木","木、火、土","木、火、土","金、水","金、水"
"M_A","H10","专项","癸未 丁巳 丙戌 辛卯","真化","S1","T2","无","12.5","19","一致","100","极强","95.5","极强","-4.5","无","无","水","水","水、土、金","水、土、金","木、火","木、火"
"M_A","H11","专项","壬辰 癸卯 戊戌 丁巳","趋化","S2","T2","R1","-5","-4","一致","47","中和","42","中和","-5","无","翻转","土","土","土","土、火","","木、金、水"
"M_A","H12","专项","甲申 丁丑 壬辰 己酉","趋化","S2","T0","无","11.5","18","一致","22","极弱","33.5","偏弱","11.5","翻转","无","金","金","金、水","金、水","木、火、土","木、火、土"
"M_A","H13","专项","壬寅 丙午 丙戌 辛卯","真化","S1","T2","无","12.5","19","一致","100","极强","100","极强","0","无","无","水","水","水、土、金","水、土、金","木、火","木、火"
"M_A","H14","专项","乙丑 己丑 壬子 辛丑","真化","S1","T2","无","-13.5","-22","一致","10","极弱","18.5","极弱","8.5","无","无","金","金","金、水","金、水","木、土、火","木、土、火"
"M_A","H15","专项","甲寅 庚午 庚辰 乙酉","合而不化","S0","T2","无","0","0","—","36","偏弱","36","偏弱","0","无","无","金","金","金、土","金、土","木、火、水","木、火、水"
"M_A","H16","专项","丙辰 庚子 癸巳 庚申","趋化","S1","T0","无","10.5","18","一致","100","极强","100","极强","0","无","无","火","火","火、木、土","火、木、土","金、水","金、水"
"M_A","H17","专项","甲子 丙子 癸亥 甲寅","趋化","S2","T2","无","-12.5","-19","一致","97","极强","84.5","极强","-12.5","无","无","土","土","土、火、木","土、火、木","金、水","金、水"
"M_A","H18","专项","癸卯 己未 甲午 壬申","真化","S1","T2","无","-1","1","翻转","29","极弱","28","极弱","-1","无","无","木","木","木、水","木、水","火、土、金","火、土、金"
"M_A","A5","基线","壬辰 癸卯 戊戌 丁巳","趋化","S2","T2","R1","-5","-4","一致","47","中和","42","中和","-5","无","翻转","土","土","土","土、火","","木、金、水"
"M_A","P15-15","锚点","癸未 戊午 乙卯 丙戌","真化","S1","T2","无","-11.25","-19","一致","19","极弱","26.75","极弱","7.75","无","无","木","木","木、水","木、水","金、火、土","金、火、土"
"M_B","H01","专项","癸未 戊午 乙卯 丙戌","真化","S1","T2","无","-11.25","-19","一致","19","极弱","26.75","极弱","7.75","无","无","木","木","木、水","木、水","金、火、土","金、火、土"
"M_B","H02","专项","戊辰 甲寅 丁亥 庚子","真化","S1","T2","无","11","18","一致","71","偏强","64","偏强","-7","无","无","水","水","水、土、金","水、土、金","木、火","木、火"
"M_B","H03","专项","甲寅 戊辰 壬子 辛丑","真化","S1","T2","无","-13.5","-22","一致","23","极弱","31.5","偏弱","8.5","翻转","无","金","金","金、水","金、水","木、土、火","木、土、火"
"M_B","H04","专项","甲申 庚午 辛卯 戊戌","趋化","S1","T0","无","0.75","-4","翻转","26","极弱","30.75","偏弱","4.75","翻转","无","金","金","金、土","金、土","木、火、水","木、火、水"
"M_B","H05","专项","庚子 乙酉 甲辰 甲子","趋化","S1","T1","无","0.75","-4","翻转","21","极弱","25.75","极弱","4.75","无","无","水","水","水、木","水、木","火、土、金","火、土、金"
"M_B","H06","专项","乙巳 壬午 丁未 戊申","趋化","S2","T2","无","0","0","一致","98","极强","79","偏强","-19","翻转","无","水","水","水、土、金","水、土、金","木、火","木、火"
"M_B","H07","专项","己丑 丙寅 丁亥 甲辰","真化","S1","T2","无","11","18","一致","86","极强","79","偏强","-7","翻转","无","土","土","土、金、水","土、金、水","木、火","木、火"
"M_B","H08","专项","丁酉 丙午 丁卯 庚戌","趋化","S1","T2","R1","-1.5","4","翻转","94","极强","88.5","极强","-5.5","无","无","水","水","水、土、金","水、土、金","木、火","木、火"
"M_B","H09","专项","甲寅 壬申 壬辰 己酉","趋化","S1","T0","R2","10.5","18","一致","80","极强","72.5","偏强","-7.5","翻转","无","木","木","木、火、土","木、火、土","金、水","金、水"
"M_B","H10","专项","癸未 丁巳 丙戌 辛卯","真化","S1","T2","无","12.5","19","一致","100","极强","95.5","极强","-4.5","无","无","水","水","水、土、金","水、土、金","木、火","木、火"
"M_B","H11","专项","壬辰 癸卯 戊戌 丁巳","趋化","S2","T2","R1","-6","-4","一致","47","中和","41","中和","-6","无","翻转","土","土","土","土、火","","木、金、水"
"M_B","H12","专项","甲申 丁丑 壬辰 己酉","趋化","S2","T0","无","10.5","18","一致","22","极弱","32.5","偏弱","10.5","翻转","无","金","金","金、水","金、水","木、火、土","木、火、土"
"M_B","H13","专项","壬寅 丙午 丙戌 辛卯","真化","S1","T2","无","12.5","19","一致","100","极强","100","极强","0","无","无","水","水","水、土、金","水、土、金","木、火","木、火"
"M_B","H14","专项","乙丑 己丑 壬子 辛丑","真化","S1","T2","无","-13.5","-22","一致","10","极弱","18.5","极弱","8.5","无","无","金","金","金、水","金、水","木、土、火","木、土、火"
"M_B","H15","专项","甲寅 庚午 庚辰 乙酉","合而不化","S0","T2","无","0","0","—","36","偏弱","36","偏弱","0","无","无","金","金","金、土","金、土","木、火、水","木、火、水"
"M_B","H16","专项","丙辰 庚子 癸巳 庚申","趋化","S1","T0","无","9","18","一致","100","极强","100","极强","0","无","无","火","火","火、木、土","火、木、土","金、水","金、水"
"M_B","H17","专项","甲子 丙子 癸亥 甲寅","趋化","S2","T2","无","-11.62","-19","一致","97","极强","85.375","极强","-11.62","无","无","土","土","土、火、木","土、火、木","金、水","金、水"
