样本集,编号,八字,日主,月支,月令五行mwx,①令,①分值,mwxCount,⑤命中,⑤BASE,⑤P22,|⑤|/|①|BASE,|⑤|/|①|P22,BASE分,BASE档,P22分,P22档,档位翻转,用神,喜神,忌神,格局,备注
"22基线","#1","甲寅 丙寅 甲寅 甲子","木","寅","木","","30","6","否","0","0","","","100","极强","100","极强","否","金→金","金、火、土→金、火、土","木、水→木、水","建禄格·破格→建禄格·破格",""
"22基线","#2","庚申 戊子 丙子 壬辰","火","子","水","","-25","3","否","0","0","","","1","极弱","1","极弱","否","水→水","水、金、土→水、金、土","木、火→木、火","假从势格·成格→假从势格·成格",""
"22基线","#3","戊午 丁巳 丙午 甲午","火","巳","火","","30","6","否","0","0","","","100","极强","100","极强","否","水→水","水、土、金→水、土、金","木、火→木、火","建禄格·破格→建禄格·破格",""
"22基线","#4","壬子 辛亥 戊子 壬子","土","亥","水","囚","-10","6","是","-40","-20","4","2","1","极弱","1","极弱","否","水→水","水、金、木→水、金、木","火、土→火、土","从财格·成格→从财格·成格","⑤命中；BASE⑤≥①；P22⑤≥①；BASE|⑤|≥12"
"22基线","#5","己酉 癸酉 庚申 甲申","金","酉","金","","30","5","否","0","0","","","100","极强","100","极强","否","火→火","火、水、木→火、水、木","土、金→土、金","羊刃格·破格→羊刃格·破格",""
"22基线","#6","甲辰 丙寅 戊午 丁巳","土","寅","木","","-25","2","否","0","0","","","62","偏强","62","偏强","否","水→水","水、金、木→水、金、木","火、土→火、土","杀印相生格·成格→杀印相生格·成格",""
"22基线","#7","癸亥 甲寅 乙卯 丙子","木","寅","木","","30","4","否","0","0","","","100","极强","100","极强","否","金→金","金、火、土→金、火、土","木、水→木、水","建禄格·破格→建禄格·破格",""
"22基线","#8","庚申 壬午 甲午 丙寅","木","午","火","休","-15","3","是","-8","-4","0.53","0.27","24","极弱","28","极弱","否","水→水","水、木→水、木","火、土、金→火、土、金","伤官配印格·破格→伤官配印格·破格","⑤命中"
"22基线","#9","甲子 丁卯 己未 庚午","土","卯","木","","-25","2","否","0","0","","","51","中和","51","中和","否","木→木","木→木","→","杀印相生格·成格→杀印相生格·成格",""
"22基线","#10","辛酉 癸巳 壬子 庚子","水","巳","火","","-10","1","否","0","0","","","75","偏强","75","偏强","否","火→火","火、木、土→火、木、土","金、水→金、水","偏财格·破格→偏财格·破格",""
"22基线","A1","甲辰 丙寅 戊午 庚申","土","寅","木","","-25","2","否","0","0","","","45","中和","45","中和","否","火→火","火、土→火、土","木、金→木、金","杀印相生格·破格→杀印相生格·破格",""
"22基线","A2","甲子 丁卯 己未 癸酉","土","卯","木","","-25","2","否","0","0","","","40","中和","40","中和","否","火→火","火、土→火、土","木、金、水→木、金、水","杀印相生格·破格→杀印相生格·破格",""
"22基线","A3","丙申 庚寅 戊辰 丁巳","土","寅","木","","-25","1","否","0","0","","","56","中和","56","中和","否","水→水","水、金、木→水、金、木","火、土→火、土","食神制杀格·破格→食神制杀格·破格",""
"22基线","A4","辛亥 庚寅 己巳 庚午","土","寅","木","","-25","1","否","0","0","","","32","偏弱","32","偏弱","否","火→火","火、土→火、土","木、金、水→木、金、水","正官格·破格→正官格·破格",""
"22基线","A5","壬辰 癸卯 戊戌 丁巳","土","卯","木","","-25","1","否","0","0","","","48","中和","48","中和","否","土→土","土→土","→","正官格·破格→正官格·破格",""
"22基线","A6","癸酉 乙卯 己丑 己巳","土","卯","木","","-25","2","否","0","0","","","34","偏弱","34","偏弱","否","火→火","火、土→火、土","木、金、水→木、金、水","七杀格·破格→七杀格·破格",""
"22基线","B1","庚申 壬午 甲午 丙寅","木","午","火","休","-15","3","是","-8","-4","0.53","0.27","24","极弱","28","极弱","否","水→水","水、木→水、木","火、土、金→火、土、金","伤官配印格·破格→伤官配印格·破格","⑤命中"
"22基线","B2","壬申 丁未 甲辰 乙丑","木","未","土","囚","-10","3","是","-16","-8","1.6","0.8","19","极弱","27","极弱","否","木→木","木、水→木、水","火、土、金→火、土、金","伤官格·破格→伤官格·破格","⑤命中；BASE⑤≥①；BASE|⑤|≥12"
"22基线","B3","辛酉 丁酉 甲寅 乙丑","木","酉","金","","-25","3","否","0","0","","","34","偏弱","34","偏弱","否","水→水","水、木→水、木","火、金、土→火、金、土","正官格·破格→正官格·破格",""
"22基线","B4","戊辰 戊午 乙亥 戊寅","木","午","火","","-15","1","否","0","0","","","36","偏弱","36","偏弱","否","木→木","木、水→木、水","金、火、土→金、火、土","食神生财格·成格→食神生财格·成格",""
"22基线","B5","庚子 甲申 乙卯 丙子","木","申","金","","-25","2","否","0","0","","","42","中和","42","中和","否","水→水","水、木→水、木","火、金、土→火、金、土","正官格·破格→正官格·破格",""
"22基线","B6","丙申 己亥 丁卯 壬寅","火","亥","水","","-25","2","否","0","0","","","34","偏弱","34","偏弱","否","木→木","木、火→木、火","土、金、水→土、金、水","正官格·成格→正官格·成格",""
"六盘锚点","P15-03","乙丑 戊寅 己巳 庚午","土","寅","木","","-25","2","否","0","0","","","51","中和","51","中和","否","火→火","火、水→火、水","→","正官格·破格→正官格·破格",""
