set,id,alias,gz,sC,lC,yC,xiC,jiC,pC,congC,sP,lP,yP,xiP,jiP,pP,delta,bandChg,yongChg,xijiChg,patternChg,d1,d2,d3,d4,d5,d5b,d6,d7,d8lin,d8liu,d8san,d8chong,d8hehua,d8b,d8pos,raw,tier,p21hit,p22hit,p23hit,P_d5,P_d8hehua,P_d8b
22基线,#1,,甲寅 丙寅 甲寅 甲子,100,极强,金,金、火、土,木、水,建禄格·破格,否,100,极强,金,金、火、土,木、水,建禄格·破格,0,0,0,0,0,30,14,9,11,0,0,0,0,0,0,0,0,0,0,1,115,D,0,0,0,0,0,0
22基线,#2,,庚申 戊子 丙子 壬辰,1,极弱,水,水、金、土,木、火,假从势格·成格,假从势格,1,极弱,水,水、金、土,木、火,假从势格·成格,0,0,0,0,0,-25,-10,-12,-7,0,0,0,0,-3,0,0,0,0,0,1,-6,D,0,0,0,0,0,0
22基线,#3,,戊午 丁巳 丙午 甲午,100,极强,水,水、土、金,木、火,建禄格·破格,否,100,极强,水,水、土、金,木、火,建禄格·破格,0,0,0,0,0,30,16,7,12,0,0,-8,0,0,0,3,0,0,0,2,112,D,0,0,0,0,0,0
22基线,#4,,壬子 辛亥 戊子 壬子,1,极弱,水,水、金、木,火、土,从财格·成格,从财格,1,极弱,水,水、金、木,火、土,从财格·成格,0,0,0,0,0,-10,-6,-13,-8,-20,0,-8,0,0,0,-3,0,0,0,1,-17,D,0,1,0,-40,0,0
22基线,#5,,己酉 癸酉 庚申 甲申,100,极强,火,火、水、木,土、金,羊刃格·破格,否,100,极强,火,火、水、木,土、金,羊刃格·破格,0,0,0,0,0,30,14,-4,12,0,0,0,0,0,0,3,0,0,0,0,105,D,0,0,0,0,0,0
22基线,#6,,甲辰 丙寅 戊午 丁巳,62,偏强,水,水、金、木,火、土,杀印相生格·成格,否,62,偏强,水,水、金、木,火、土,杀印相生格·成格,0,0,0,0,0,-25,8,4,5,0,0,0,0,1,0,2,0,0,13,4,62,A,0,0,1,0,0,13
22基线,#7,,癸亥 甲寅 乙卯 丙子,100,极强,金,金、火、土,木、水,羊刃格·破格,否,100,极强,金,金、火、土,木、水,羊刃格·破格,0,0,0,0,0,30,14,7,10,0,0,0,0,1,0,4,0,0,0,1,117,D,0,0,0,0,0,0
22基线,#8,B1,庚申 壬午 甲午 丙寅,28,极弱,水,水、木,火、土、金,伤官配印格·破格,否,24,极弱,水,水、木,火、土、金,伤官配印格·破格,4,0,0,0,0,-15,-7,-3,-1,-4,0,5,0,0,0,0,0,0,0,3,28,D,0,1,0,-8,0,0
22基线,#9,,甲子 丁卯 己未 庚午,51,中和,木,木、金、水,火、土,杀印相生格·成格,否,51,中和,木,木,,杀印相生格·成格,0,0,0,1,0,-25,12,-3,1,0,0,0,0,-2,0,2,0,0,13,3,51,A,0,0,1,0,0,13
22基线,#10,,辛酉 癸巳 壬子 庚子,82,极强,火,火、木、土,金、水,偏财格·破格,否,75,偏强,火,火、木、土,金、水,偏财格·破格,7,1,0,0,0,-10,19,14,6,0,0,0,0,1,0,0,0,0,0,2,82,D,0,0,0,0,0,0
22基线,A1,,甲辰 丙寅 戊午 庚申,45,中和,火,火、土,木、金、水,杀印相生格·破格,否,45,中和,火,火、土,木、金,杀印相生格·破格,0,0,0,1,0,-25,8,-3,2,0,0,0,0,1,0,0,-4,0,13,3,45,A,0,0,1,0,0,13
22基线,A2,,甲子 丁卯 己未 癸酉,40,中和,火,火、土,木、金、水,杀印相生格·破格,否,40,中和,火,火、土,木、金、水,杀印相生格·破格,0,0,0,0,0,-25,12,-5,-2,0,0,0,0,-2,0,0,-4,0,13,3,40,A,0,0,1,0,0,13
22基线,A3,,丙申 庚寅 戊辰 丁巳,56,中和,金,金、水、木,火、土,食神制杀格·破格,否,56,中和,水,水、金、木,火、土,食神制杀格·破格,0,0,1,1,0,-25,12,5,2,0,0,0,0,-2,0,0,0,0,13,1,56,A,0,0,1,0,0,13
22基线,A4,,辛亥 庚寅 己巳 庚午,22,极弱,火,火、土,木、金、水,正官格·破格,否,32,偏弱,火,火、土,木、金、水,正官格·破格,-10,1,0,0,0,-25,8,-9,0,0,0,0,0,-5,0,2,-2,0,3,0,22,C,0,0,1,0,0,13
22基线,A5,H11,壬辰 癸卯 戊戌 丁巳,40,中和,土,土、火,木、金、水,正官格·破格,否,47,中和,土,土,,正官格·破格,-7,0,0,1,0,-25,12,-6,6,0,0,0,2,-1,0,-2,-2,1,3,2,40,C,1,0,1,0,0,13
22基线,A6,,癸酉 乙卯 己丑 己巳,34,偏弱,火,火、土,木、金、水,七杀格·破格,否,34,偏弱,火,火、土,木、金、水,七杀格·破格,0,0,0,0,0,-25,12,-3,2,0,0,0,0,-3,0,0,0,0,0,1,34,D,0,0,0,0,0,0
22基线,B1,#8,庚申 壬午 甲午 丙寅,28,极弱,水,水、木,火、土、金,伤官配印格·破格,否,24,极弱,水,水、木,火、土、金,伤官配印格·破格,4,0,0,0,0,-15,-7,-3,-1,-4,0,5,0,0,0,0,0,0,0,3,28,D,0,1,0,-8,0,0
22基线,B2,,壬申 丁未 甲辰 乙丑,27,极弱,木,木、水,火、土、金,伤官格·破格,否,19,极弱,木,木、水,火、土、金,伤官格·破格,8,0,0,0,0,-10,-6,7,-8,-8,0,5,0,0,0,0,-4,0,0,1,27,D,0,1,0,-16,0,0
22基线,B3,,辛酉 丁酉 甲寅 乙丑,36,偏弱,水,水、木,火、土、金,正官格·破格,否,34,偏弱,水,水、木,火、金、土,正官格·破格,2,0,0,1,0,-25,14,-1,-3,0,0,0,0,-1,0,0,0,0,0,2,36,D,0,0,0,0,0,0
22基线,B4,,戊辰 戊午 乙亥 戊寅,36,偏弱,木,木、水,金、火、土,食神生财格·成格,否,36,偏弱,木,木、水,金、火、土,食神生财格·成格,0,0,0,0,0,-15,8,-15,2,0,0,5,0,0,0,0,0,0,0,1,36,D,0,0,0,0,0,0
22基线,B5,,庚子 甲申 乙卯 丙子,51,中和,土,土、火、金,木、水,正官格·破格,否,42,中和,水,水、木,火、金、土,正官格·破格,9,0,1,1,0,-25,21,-1,5,0,0,0,0,-1,0,0,0,0,0,2,51,D,0,0,0,0,0,0
22基线,B6,,丙申 己亥 丁卯 壬寅,36,偏弱,木,木、火,土、金、水,正官格·成格,否,34,偏弱,木,木、火,土、金、水,正官格·成格,2,0,0,0,0,-25,8,-1,0,0,0,0,2,0,0,2,0,0,0,0,36,D,0,0,0,0,0,0
六盘锚点,P15-03,,乙丑 戊寅 己巳 庚午,51,中和,水,水、木、金,火、土,正官格·破格,否,51,中和,火,火、水,,正官格·破格,0,0,1,1,0,-25,8,-1,5,0,0,0,0,-3,0,2,0,0,13,2,51,A,0,0,1,0,0,13
六盘锚点,P15-09,,丁丑 癸卯 庚申 丙戌,52,中和,水,水、木、火,土、金,正财格·破格,否,47,中和,土,土,,正财格·破格,5,0,1,1,0,-10,17,-11,5,0,0,0,0,0,0,0,0,0,0,1,52,D,0,0,0,0,0,0
六盘锚点,P15-12,,戊子 甲寅 庚申 丁亥,33,偏弱,土,土、金,木、火、水,偏财格·破格,否,27,极弱,土,土、金,木、火、水,偏财格·破格,6,1,0,0,0,-10,14,-5,-1,-4,0,0,0,-7,-3,-1,0,0,0,0,33,D,0,1,0,-8,0,0
六盘锚点,P15-14,,丙寅 庚寅 戊辰 癸亥,30,偏弱,土,土、火,木、水、金,食神制杀格·破格,否,22,极弱,土,土、火,木、水、金,食神制杀格·破格,8,1,0,0,0,-25,12,-4,-3,0,0,0,2,0,-8,0,0,0,6,0,30,B,0,0,1,0,0,0
六盘锚点,P15-15,H01,癸未 戊午 乙卯 丙戌,31.75,偏弱,木,木、水,金、火、土,食神生财格·成格,否,19,极弱,木,木、水,金、火、土,食神生财格·破格,12.75,1,0,0,1,-15,14,-4,-2,-2,0,5,-1,0,0,-2,0,-11.25,0,0,31.75,D,1,1,0,-4,-19,0
六盘锚点,P15-16,,丁卯 壬寅 壬午 庚子,28,极弱,水,水、金,木、火、土,食神格·破格,否,26,极弱,水,水、金,木、土、火,食神格·破格,2,0,0,1,0,-15,-6,5,-1,-2,0,0,-1,-3,0,-2,0,0,0,3,28,D,0,1,0,-4,0,0
18专项,H01,P15-15,癸未 戊午 乙卯 丙戌,31.75,偏弱,木,木、水,金、火、土,食神生财格·成格,否,19,极弱,木,木、水,金、火、土,食神生财格·破格,12.75,1,0,0,1,-15,14,-4,-2,-2,0,5,-1,0,0,-2,0,-11.25,0,0,31.75,D,1,1,0,-4,-19,0
18专项,H02,,戊辰 甲寅 丁亥 庚子,64,偏强,水,水、土、金,木、火,正印格·破格,否,71,偏强,水,水、土、金,木、火,正印格·破格,-7,0,0,0,0,20,-10,-4,-3,0,0,0,0,0,0,-2,0,11,0,2,64,D,1,0,0,0,18,0
18专项,H03,,甲寅 戊辰 壬子 辛丑,35.5,偏弱,金,金、水,木、火、土,七杀格·成格,否,23,极弱,金,金、水,木、土、火,七杀格·破格,12.5,1,0,1,1,-13,16,-3,-2,0,0,0,0,-1,0,2,0,-13.5,0,0,35.5,D,1,0,0,0,-22,0
18专项,H04,,甲申 庚午 辛卯 戊戌,26.5,极弱,金,金、土,木、火、水,七杀格·破格,否,26,极弱,金,金、土,木、火、水,七杀格·破格,0.5,0,0,0,0,-25,-6,5,1,0,0,5,0,-3,0,0,0,-3.5,0,3,26.5,D,1,0,0,0,-4,0
18专项,H05,,庚子 乙酉 甲辰 甲子,21.5,极弱,水,水、木,火、土、金,正官格·破格,否,21,极弱,水,水、木,火、土、金,正官格·破格,0.5,0,0,0,0,-25,-6,8,0,0,0,-3,-1,-1,0,0,0,-3.5,0,3,21.5,D,1,0,0,0,-4,0
18专项,H06,,乙巳 壬午 丁未 戊申,79,偏强,水,水、土、金,木、火,建禄格·成格,否,98,极强,水,水、土、金,木、火,建禄格·成格,-19,1,0,0,0,30,-7,-3,3,0,0,5,2,0,0,0,0,0,0,-1,79,D,1,0,0,0,19,0
18专项,H07,,己丑 丙寅 丁亥 甲辰,79,偏强,土,土、金、水,木、火,正印格·成格,否,86,极强,土,土、金、水,木、火,正印格·成格,-7,1,0,0,0,20,-10,7,-2,0,0,0,0,1,0,0,0,11,0,2,79,D,1,0,0,0,18,0
18专项,H08,,丁酉 丙午 丁卯 庚戌,94,极强,水,水、土、金,木、火,建禄格·成格,否,94,极强,水,水、土、金,木、火,建禄格·成格,0,0,0,0,0,30,8,7,2,0,0,-8,0,3,0,-1,-2,4,0,1,94,D,1,0,0,0,4,0
18专项,H09,,甲寅 壬申 壬辰 己酉,68.5,偏强,木,木、火、土,金、水,偏印格·破格,否,80,极强,木,木、火、土,金、水,偏印格·破格,-11.5,1,0,0,0,20,-10,-1,1,0,0,0,0,-1,0,2,0,6.5,0,1,68.5,D,1,0,0,0,18,0
18专项,H10,,癸未 丁巳 丙戌 辛卯,97.5,极强,水,水、土、金,木、火,建禄格·成格,否,100,极强,水,水、土、金,木、火,建禄格·成格,-2.5,0,0,0,0,30,-7,-3,3,0,0,5,2,3,0,0,0,12.5,0,2,97.5,D,1,0,0,0,19,0
18专项,H11,A5,壬辰 癸卯 戊戌 丁巳,40,中和,土,土、火,木、金、水,正官格·破格,否,47,中和,土,土,,正官格·破格,-7,0,0,1,0,-25,12,-6,6,0,0,0,2,-1,0,-2,-2,1,3,2,40,C,1,0,1,0,0,13
18专项,H12,,甲申 丁丑 壬辰 己酉,30.5,偏弱,金,金、水,木、火、土,正官格·成格,否,22,极弱,金,金、水,木、火、土,正官格·破格,8.5,1,0,0,1,-13,-10,-12,0,0,0,5,2,1,0,1,0,6.5,0,0,30.5,D,1,0,0,0,0,0
18专项,H13,,壬寅 丙午 丙戌 辛卯,100,极强,水,水、土、金,木、火,羊刃格·成格,否,100,极强,水,水、土、金,木、火,羊刃格·成格,0,0,0,0,0,30,-7,-3,6,0,0,5,2,6,0,1,0,12.5,0,2,104.5,D,1,0,0,0,19,0
18专项,H14,,乙丑 己丑 壬子 辛丑,22.5,极弱,金,金、水,木、火、土,正官格·破格,否,10,极弱,金,金、水,木、土、火,正官格·破格,12.5,0,0,1,0,-13,16,-3,-3,0,0,-8,0,-4,-2,3,0,-13.5,0,0,22.5,D,1,0,0,0,-22,0
18专项,H15,,甲寅 庚午 庚辰 乙酉,38,偏弱,金,金、土,木、火、水,正官格·破格,否,36,偏弱,金,金、土,木、火、水,正官格·破格,2,0,0,0,0,-25,8,-4,1,0,0,5,2,-1,0,0,0,0,0,2,38,D,0,0,0,0,0,0
18专项,H16,,丙辰 庚子 癸巳 庚申,98.5,极强,火,火、木、土,金、水,建禄格·成格,否,100,极强,火,火、木、土,金、水,建禄格·成格,-1.5,0,0,0,0,30,-6,3,1,0,0,5,0,4,0,0,0,7.5,0,4,98.5,D,1,0,0,0,18,0
18专项,H17,,甲子 丙子 癸亥 甲寅,94.5,极强,土,土、火、木,金、水,建禄格·成格,否,97,极强,土,土、火、木,金、水,建禄格·成格,-2.5,0,0,0,0,30,16,-11,8,0,0,5,0,0,0,3,0,-6.5,0,0,94.5,D,1,0,0,0,0,0
18专项,H18,,癸卯 己未 甲午 壬申,31,偏弱,木,木、水,火、土、金,正财格·成格,否,29,极弱,木,木、水,火、土、金,正财格·破格,2,1,0,0,1,-10,-7,3,-2,-4,0,5,-1,0,0,-3,0,-1,0,1,31,D,1,1,0,-8,0,0
附加观察,P15-19,,己亥 丙子 辛酉 戊子,51,中和,木,木、火、水,土、金,食神格·破格,否,45,中和,土,土、金,水,食神格·破格,6,0,1,1,0,-15,14,4,0,-4,0,5,-1,0,0,-2,0,0,0,0,51,D,0,1,0,-8,0,0
附加观察,P15-20,,壬午 癸卯 戊寅 乙卯,8,极弱,火,火、土,木、金、水,正官格·破格,否,6,极弱,火,火、土,木、金、水,正官格·破格,2,0,0,0,0,-25,-10,-14,-4,0,0,-3,2,1,0,-3,0,0,13,1,8,A,0,0,1,0,0,13
合成观察,SY1,,壬子 壬子 戊午 戊午,30,偏弱,土,土、火,木、金、水,正财格·破格,否,18,极弱,土,土、火,金、水、木,正财格·破格,12,1,0,1,0,-10,8,-4,0,-12,0,5,0,-3,0,0,-6,0,0,2,30,D,0,1,0,-24,0,0
合成观察,SY2,,壬子 壬子 戊戌 丁巳,42,中和,土,土、火,木、金、水,正财格·成格,否,30,偏弱,土,土、火,木、金、水,正财格·成格,12,1,0,0,0,-10,12,-6,1,-12,0,5,0,0,0,0,0,0,0,2,42,D,0,1,0,-24,0,0
合成观察,SY3,,甲子 壬申 乙卯 丁亥,66,偏强,土,土、火、金,木、水,官印相生格·成格,否,67,偏强,土,土、火、金,木、水,官印相生格·成格,-1,0,0,0,0,-25,21,7,5,0,0,0,0,2,0,1,0,0,3,2,66,C,0,0,1,0,0,13
合成观察,SY4,,壬寅 戊申 乙卯 壬午,66,偏强,土,土、火、金,木、水,正官格·破格,否,57,中和,土,土、火、金,木,正官格·破格,9,1,0,1,0,-25,21,3,3,0,0,0,0,-2,0,2,0,0,13,1,66,A,0,0,1,0,0,13
测试盘,wetearth,,庚申 己丑 癸卯 丁巳,32,偏弱,金,金、水,木、火、土,七杀格·成格,否,26,极弱,金,金、水,木、火、土,七杀格·破格,6,1,0,0,1,-13,-7,-5,-3,0,0,5,0,0,0,0,0,0,6,-1,32,B,0,0,1,0,0,0
