变体,编号,八字,旧分,新分,Δ分,旧旺衰,新旺衰,旧用神,新用神
P22,#8,庚申 壬午 甲午 丙寅,24,28,4,极弱,极弱,水,水
P22,B1,庚申 壬午 甲午 丙寅,24,28,4,极弱,极弱,水,水
P22,B2,壬申 丁未 甲辰 乙丑,19,27,8,极弱,极弱,木,木
P22,P15-12,戊子 甲寅 庚申 丁亥,27,31,4,极弱,偏弱,土,土
P22,P15-15,癸未 戊午 乙卯 丙戌,19,21,2,极弱,极弱,木,木
P22,P15-16,丁卯 壬寅 壬午 庚子,26,28,2,极弱,极弱,水,水
P23,P15-14,丙寅 庚寅 戊辰 癸亥,22,28,6,极弱,极弱,土,土
ALL,#8,庚申 壬午 甲午 丙寅,24,28,4,极弱,极弱,水,水
ALL,B1,庚申 壬午 甲午 丙寅,24,28,4,极弱,极弱,水,水
ALL,B2,壬申 丁未 甲辰 乙丑,19,27,8,极弱,极弱,木,木
ALL,P15-12,戊子 甲寅 庚申 丁亥,27,31,4,极弱,偏弱,土,土
ALL,P15-14,丙寅 庚寅 戊辰 癸亥,22,28,6,极弱,极弱,土,土
ALL,P15-15,癸未 戊午 乙卯 丙戌,19,21,2,极弱,极弱,木,木
ALL,P15-16,丁卯 壬寅 壬午 庚子,26,28,2,极弱,极弱,水,水
