变体,编号,八字,旧分,新分,Δ分,旧旺衰,新旺衰,旧用神,新用神
V1,P15-15,癸未 戊午 乙卯 丙戌,19,38,19,极弱,偏弱,木,木
V2,#8,庚申 壬午 甲午 丙寅,24,27,3,极弱,极弱,水,水
V2,#10,辛酉 癸巳 壬子 庚子,75,78,3,偏强,偏强,火,火
V2,A1,甲辰 丙寅 戊午 庚申,45,38,-7,中和,偏弱,火,火
V2,A2,甲子 丁卯 己未 癸酉,40,33,-7,中和,偏弱,火,火
V2,B1,庚申 壬午 甲午 丙寅,24,27,3,极弱,极弱,水,水
V2,B2,壬申 丁未 甲辰 乙丑,19,13,-6,极弱,极弱,木,木
V2,B3,辛酉 丁酉 甲寅 乙丑,34,27,-7,偏弱,极弱,水,水
V2,B4,戊辰 戊午 乙亥 戊寅,36,39,3,偏弱,偏弱,木,木
V2,P15-01,戊辰 乙卯 甲子 丙寅,92,100,8,极强,极强,金,金
V2,P15-04,庚午 壬午 丙寅 戊子,84,86,2,极强,极强,水,水
V2,P15-08,甲戌 乙亥 丁卯 辛亥,36,28,-8,偏弱,极弱,木,木
V2,P15-10,壬辰 丙午 己亥 乙丑,73,83,10,偏强,极强,木,木
V2,P15-12,戊子 甲寅 庚申 丁亥,27,21,-6,极弱,极弱,土,土
V2,P15-13,辛巳 丁酉 癸亥 壬子,95,100,5,极强,极强,土,土
V2,P15-14,丙寅 庚寅 戊辰 癸亥,22,15,-7,极弱,极弱,土,土
V2,P15-15,癸未 戊午 乙卯 丙戌,19,13,-6,极弱,极弱,木,木
V2,P15-16,丁卯 壬寅 壬午 庚子,26,29,3,极弱,极弱,水,水
V2,P15-18,甲申 丙寅 甲辰 己巳,68,71,3,偏强,偏强,金,金
V2,P15-19,己亥 丙子 辛酉 戊子,45,39,-6,中和,偏弱,土,土
V2,P15-20,壬午 癸卯 戊寅 乙卯,6,1,-5,极弱,极弱,火,火
V3,P15-14,丙寅 庚寅 戊辰 癸亥,22,28,6,极弱,极弱,土,土
V4,#8,庚申 壬午 甲午 丙寅,24,28,4,极弱,极弱,水,水
V4,B1,庚申 壬午 甲午 丙寅,24,28,4,极弱,极弱,水,水
V4,B2,壬申 丁未 甲辰 乙丑,19,27,8,极弱,极弱,木,木
V4,P15-12,戊子 甲寅 庚申 丁亥,27,31,4,极弱,偏弱,土,土
V4,P15-15,癸未 戊午 乙卯 丙戌,19,21,2,极弱,极弱,木,木
V4,P15-16,丁卯 壬寅 壬午 庚子,26,28,2,极弱,极弱,水,水
V4,P15-19,己亥 丙子 辛酉 戊子,45,49,4,中和,中和,土,木
V6,P15-15,癸未 戊午 乙卯 丙戌,19,28.5,9.5,极弱,极弱,木,木
V5,P15-15,癸未 戊午 乙卯 丙戌,19,31,12,极弱,偏弱,木,木
V7,#6,甲辰 丙寅 戊午 丁巳,62,58,-4,偏强,中和,水,水
V7,#9,甲子 丁卯 己未 庚午,51,47,-4,中和,中和,木,火
V7,A1,甲辰 丙寅 戊午 庚申,45,41,-4,中和,中和,火,火
V7,A2,甲子 丁卯 己未 癸酉,40,36,-4,中和,偏弱,火,火
V7,A6,癸酉 乙卯 己丑 己巳,34,30,-4,偏弱,偏弱,火,火
V7,B3,辛酉 丁酉 甲寅 乙丑,34,26,-8,偏弱,极弱,水,水
V7,B5,庚子 甲申 乙卯 丙子,42,38,-4,中和,偏弱,水,水
V7,B6,丙申 己亥 丁卯 壬寅,34,30,-4,偏弱,偏弱,木,木
V7,P15-03,乙丑 戊寅 己巳 庚午,51,47,-4,中和,中和,火,火
V7,P15-08,甲戌 乙亥 丁卯 辛亥,36,32,-4,偏弱,偏弱,木,木
V7,P15-14,丙寅 庚寅 戊辰 癸亥,22,18,-4,极弱,极弱,土,土
