set,id,gz,type,pillars,elements,distance,involvesMonth,involvesDay,source,target,evidence
22基线,#2,庚申 戊子 丙子 壬辰,天干克,year+day,火克金,2,0,1,日柱丙,年柱庚,经典十对（同性相克力重）
22基线,#2,庚申 戊子 丙子 壬辰,天干克,month+hour,土克水,2,1,0,月柱戊,时柱壬,经典十对（同性相克力重）
22基线,#2,庚申 戊子 丙子 壬辰,天干克,day+hour,水克火,1,0,1,时柱壬,日柱丙,经典十对（同性相克力重）
22基线,#2,庚申 戊子 丙子 壬辰,三合局,year+month+hour,申子辰|合水,3,1,0,年柱申,时柱辰,js/bazi.js:2421 SAN_HE（三字俱全）
22基线,#3,戊午 丁巳 丙午 甲午,天干克,year+hour,木克土,3,0,0,时柱甲,年柱戊,经典十对（同性相克力重）
22基线,#3,戊午 丁巳 丙午 甲午,半会,month+year,巳午|会火,1,1,0,月柱巳,年柱午,js/bazi.js:2536 半会=方局相邻两字
22基线,#4,壬子 辛亥 戊子 壬子,天干克,year+day,土克水,2,0,1,日柱戊,年柱壬,经典十对（同性相克力重）
22基线,#4,壬子 辛亥 戊子 壬子,天干克,day+hour,土克水,1,0,1,日柱戊,时柱壬,经典十对（同性相克力重）
22基线,#4,壬子 辛亥 戊子 壬子,半会,month+year,亥子|会水,1,1,0,月柱亥,年柱子,js/bazi.js:2536 半会=方局相邻两字
22基线,#5,己酉 癸酉 庚申 甲申,天干克,year+month,土克水,1,1,0,年柱己,月柱癸,经典十对（同性相克力重）
22基线,#5,己酉 癸酉 庚申 甲申,天干五合,year+hour,土、木|化土,3,0,0,年柱己,时柱甲,js/bazi.js:2382 GAN_HE
22基线,#5,己酉 癸酉 庚申 甲申,天干克,day+hour,金克木,1,0,1,日柱庚,时柱甲,经典十对（同性相克力重）
22基线,#5,己酉 癸酉 庚申 甲申,半会,day+year,申酉|会金,2,0,1,日柱申,年柱酉,js/bazi.js:2536 半会=方局相邻两字
