set,id,gz,shaGans,K1,K2,e1当令,e2本气强根,e3多现,e4三合三会,证据数,有效制化,制化明细,K1K2差异
22基线,#1,甲寅 丙寅 甲寅 甲子,,,,0,0,0,0,0,无,,
22基线,#2,庚申 戊子 丙子 壬辰,时柱壬(七杀),,,1,1,1,1,4,有,食伤:戊(食神·本气根),
22基线,#3,戊午 丁巳 丙午 甲午,,,,0,0,0,0,0,有,食伤:戊(食神·禄),
22基线,#4,壬子 辛亥 戊子 壬子,,,,0,0,0,0,0,无,,
22基线,#5,己酉 癸酉 庚申 甲申,,,,0,0,0,0,0,无,,
22基线,#6,甲辰 丙寅 戊午 丁巳,年柱甲(七杀),,,1,1,1,0,3,有,印:丙(偏印·禄),丁(正印·禄),
22基线,#7,癸亥 甲寅 乙卯 丙子,,,,0,0,0,0,0,有,印:癸(偏印·禄),
22基线,#8,庚申 壬午 甲午 丙寅,年柱庚(七杀),,,0,1,1,0,2,有,食伤:丙(食神·本气根),
22基线,#9,甲子 丁卯 己未 庚午,,,,1,1,0,0,2,有,印:丁(偏印·禄),
22基线,#10,辛酉 癸巳 壬子 庚子,,,,0,0,0,0,0,有,印:辛(正印·禄),庚(偏印·本气根),
22基线,A1,甲辰 丙寅 戊午 庚申,年柱甲(七杀),,,1,1,1,0,3,有,印:丙(偏印·本气根)；食伤:庚(食神·禄),
22基线,A2,甲子 丁卯 己未 癸酉,,,,1,1,0,0,2,无,,
22基线,A3,丙申 庚寅 戊辰 丁巳,,,,1,1,0,0,2,有,印:丙(偏印·禄),丁(正印·本气根)；食伤:庚(食神·禄),
22基线,A4,辛亥 庚寅 己巳 庚午,,,,1,1,0,0,2,无,,
22基线,A5,壬辰 癸卯 戊戌 丁巳,,,,1,1,0,0,2,有,印:丁(正印·本气根),
22基线,A6,癸酉 乙卯 己丑 己巳,月柱乙(七杀),潜在,存在,1,1,1,0,3,无,,潜在→存在
22基线,B1,庚申 壬午 甲午 丙寅,年柱庚(七杀),,,0,1,1,0,2,有,食伤:丙(食神·本气根),
22基线,B2,壬申 丁未 甲辰 乙丑,,,,0,1,0,0,1,无,,
22基线,B3,辛酉 丁酉 甲寅 乙丑,,,,1,1,1,0,3,无,,
22基线,B4,戊辰 戊午 乙亥 戊寅,,,,0,0,0,0,0,无,,
22基线,B5,庚子 甲申 乙卯 丙子,,,,1,1,0,0,2,无,,
22基线,B6,丙申 己亥 丁卯 壬寅,,,,1,1,0,0,2,无,,
六盘锚点,P15-03,乙丑 戊寅 己巳 庚午,年柱乙(七杀),,存在,1,1,1,0,3,无,,不输出→存在
六盘锚点,P15-09,丁丑 癸卯 庚申 丙戌,时柱丙(七杀),,,0,0,0,0,0,无,,
六盘锚点,P15-12,戊子 甲寅 庚申 丁亥,,,,0,0,0,0,0,无,,
六盘锚点,P15-14,丙寅 庚寅 戊辰 癸亥,,,,1,1,1,0,3,无,,
六盘锚点,P15-15,癸未 戊午 乙卯 丙戌,,,,0,0,0,0,0,有,食伤:丙(伤官·本气根),
六盘锚点,P15-16,丁卯 壬寅 壬午 庚子,,,,0,0,0,0,0,无,,
18专项,H01,癸未 戊午 乙卯 丙戌,,,,0,0,0,0,0,有,食伤:丙(伤官·本气根),
18专项,H02,戊辰 甲寅 丁亥 庚子,,,,0,1,1,0,2,有,印:甲(正印·禄)；食伤:戊(伤官·本气根),
18专项,H03,甲寅 戊辰 壬子 辛丑,月柱戊(七杀),,,1,1,1,0,3,有,食伤:甲(食神·禄),
18专项,H04,甲申 庚午 辛卯 戊戌,,,,1,1,0,0,2,有,印:戊(正印·本气根),
18专项,H05,庚子 乙酉 甲辰 甲子,年柱庚(七杀),潜在,存在,1,1,1,0,3,无,,潜在→存在
18专项,H06,乙巳 壬午 丁未 戊申,,,,0,0,0,0,0,有,食伤:戊(伤官·禄),
18专项,H07,己丑 丙寅 丁亥 甲辰,,,,0,1,0,0,1,有,印:甲(正印·禄)；食伤:己(食神·本气根),
18专项,H08,丁酉 丙午 丁卯 庚戌,,,,0,0,0,0,0,无,,
18专项,H09,甲寅 壬申 壬辰 己酉,,,,0,1,0,0,1,有,食伤:甲(食神·禄),
18专项,H10,癸未 丁巳 丙戌 辛卯,,,,0,0,0,0,0,无,,
18专项,H11,壬辰 癸卯 戊戌 丁巳,,,,1,1,0,0,2,有,印:丁(正印·本气根),
18专项,H12,甲申 丁丑 壬辰 己酉,,,,1,1,1,0,3,无,,
18专项,H13,壬寅 丙午 丙戌 辛卯,年柱壬(七杀),潜在,,0,0,0,0,0,无,,潜在→不输出
18专项,H14,乙丑 己丑 壬子 辛丑,,,,1,1,1,0,3,无,,
18专项,H15,甲寅 庚午 庚辰 乙酉,,,,1,1,0,0,2,无,,
18专项,H16,丙辰 庚子 癸巳 庚申,,,,0,1,0,0,1,有,印:庚(正印·禄),庚(正印·禄),
18专项,H17,甲子 丙子 癸亥 甲寅,,,,0,0,0,0,0,有,食伤:甲(伤官·禄),甲(伤官·禄),
18专项,H18,癸卯 己未 甲午 壬申,,,,0,1,0,0,1,无,,
附加观察,P15-19,己亥 丙子 辛酉 戊子,,,,0,0,0,0,0,无,,
附加观察,P15-20,壬午 癸卯 戊寅 乙卯,,,,1,1,1,0,3,无,,
合成观察,SY1,壬子 壬子 戊午 戊午,,,,0,0,0,0,0,无,,
合成观察,SY2,壬子 壬子 戊戌 丁巳,,,,0,0,0,0,0,有,印:丁(正印·本气根),
合成观察,SY3,甲子 壬申 乙卯 丁亥,,,,1,1,0,0,2,有,印:壬(正印·禄),
合成观察,SY4,壬寅 戊申 乙卯 壬午,,,,1,1,0,0,2,无,,
测试盘,wetearth,庚申 己丑 癸卯 丁巳,月柱己(七杀),,,1,1,1,0,3,有,印:庚(正印·禄),
