编号,八字,遁法,①得令,②得地,③得势,④藏干,⑤过耗,⑥调候,⑦五合,⑧合冲刑害,⑧½结构补偿,⑧¾宫位,终分,旺衰,格局,用神,喜神,忌神,特殊格局,⑧½前分,⑧½后分,因⑧½跨50,无⑧½终分,无⑧½旺衰,无⑧½用神,无⑧½喜神,无⑧½忌神,喜用忌是否改变
A1,甲辰 丙寅 戊午 庚申,合格,25,33,30,32,32,32,32,29,13,3,45,中和,杀印相生格·破格,火,火、土,木、金、水,否,29,42,否,32,偏弱,火,火、土,木、金、水,否
A2,甲子 丁卯 己未 癸酉,合格,25,37,32,30,30,30,30,24,13,3,40,中和,杀印相生格·破格,火,火、土,木、金、水,否,24,37,否,27,极弱,火,火、土,木、金、水,否
A3,丙申 庚寅 戊辰 丁巳,合格,25,37,42,44,44,44,44,42,13,1,56,中和,食神制杀格·破格,木,木、金、水,火、土,否,42,55,是,43,中和,火,火、土,木、金、水,是
A4,辛亥 庚寅 己巳 庚午,合格,25,33,24,24,24,24,24,19,13,0,32,偏弱,正官格·破格,火,火、土,木、金、水,否,19,32,否,19,极弱,火,火、土,木、金、水,否
A5,壬辰 癸卯 戊戌 丁巳,合格,25,37,31,37,37,37,37,32,13,2,47,中和,正官格·破格,火,火、土,木、金、水,否,32,45,否,34,偏弱,火,火、土,木、金、水,否
A6,癸酉 乙卯 己丑 己巳,合格,25,37,34,36,36,36,36,33,0,1,34,偏弱,七杀格·破格,火,火、土,木、金、水,否,33,33,否,34,偏弱,火,火、土,木、金、水,否
B1,庚申 壬午 甲午 丙寅,合格,35,28,25,24,16,21,21,21,0,3,24,极弱,伤官配印格·破格,水,水、木,金、火、土,否,21,21,否,24,极弱,水,水、木,金、火、土,否
B2,壬申 丁未 甲辰 乙丑,合格,40,34,41,33,17,22,22,18,0,1,19,极弱,伤官格·破格,水,水、木,金、火、土,否,18,18,否,19,极弱,水,水、木,金、火、土,否
B3,辛酉 丁酉 甲寅 乙丑,合格,25,37,36,33,33,33,33,32,0,2,34,偏弱,正官格·破格,水,水、木,金、火、土,否,32,32,否,34,偏弱,水,水、木,金、火、土,否
B4,戊辰 戊午 乙亥 戊寅,合格,35,43,28,30,30,35,35,35,0,1,36,偏弱,食神生财格·成格,水,水、木,金、火、土,否,35,35,否,36,偏弱,水,水、木,金、火、土,否
B5,庚子 甲申 乙卯 丙子,合格,25,37,36,41,41,41,41,40,0,2,42,中和,正官格·破格,水,水、木,金、火、土,否,40,40,否,42,中和,水,水、木,金、火、土,否
B6,丙申 己亥 丁卯 壬寅,合格,25,33,32,32,32,32,32,34,0,0,34,偏弱,正官格·成格,木,木、火,水、土、金,否,34,34,否,34,偏弱,木,木、火,水、土、金,否
